SGB	Classification	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
SGB6891	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1860-o__OFGB1860-f__FGB1860-g__GGB4937-s__GGB4937_SGB6891-t__SGB6891	Bacteria	Firmicutes	CFGB1860	OFGB1860	FGB1860	GGB4937	GGB4937_SGB6891	SGB6891
SGB6893	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1860-o__OFGB1860-f__FGB1860-g__GGB4938-s__GGB4938_SGB6893-t__SGB6893	Bacteria	Firmicutes	CFGB1860	OFGB1860	FGB1860	GGB4938	GGB4938_SGB6893	SGB6893
SGB6894	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1860-o__OFGB1860-f__FGB1860-g__GGB4938-s__GGB4938_SGB6894-t__SGB6894	Bacteria	Firmicutes	CFGB1860	OFGB1860	FGB1860	GGB4938	GGB4938_SGB6894	SGB6894
SGB6934	kSGB	k__Bacteria-p__Firmicutes-c__Negativicutes-o__Veillonellales-f__Veillonellaceae-g__Veillonella-s__Veillonella_sp_3627-t__SGB6934	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_sp_3627	SGB6934
SGB6935	kSGB	k__Bacteria-p__Firmicutes-c__Negativicutes-o__Veillonellales-f__Veillonellaceae-g__Veillonella-s__Veillonella_tobetsuensis-t__SGB6935	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_tobetsuensis	SGB6935
SGB6936	kSGB	k__Bacteria-p__Firmicutes-c__Negativicutes-o__Veillonellales-f__Veillonellaceae-g__Veillonella-s__Veillonella_atypica-t__SGB6936	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_atypica	SGB6936
SGB6939	kSGB	k__Bacteria-p__Firmicutes-c__Negativicutes-o__Veillonellales-f__Veillonellaceae-g__Veillonella-s__Veillonella_parvula-t__SGB6939	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_parvula	SGB6939
SGB6952	kSGB	k__Bacteria-p__Firmicutes-c__Negativicutes-o__Veillonellales-f__Veillonellaceae-g__Veillonella-s__Veillonella_dispar-t__SGB6952	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_dispar	SGB6952
SGB6956	kSGB	k__Bacteria-p__Firmicutes-c__Negativicutes-o__Veillonellales-f__Veillonellaceae-g__Veillonella-s__Veillonella_rogosae-t__SGB6956	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_rogosae	SGB6956
SGB7284	uSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Bacillales-f__Bacillales_unclassified-g__Gemella-s__Gemella_SGB7284-t__SGB7284	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella	Gemella_SGB7284	SGB7284
SGB7285	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Bacillales-f__Bacillales_unclassified-g__Gemella-s__Gemella_haemolysans-t__SGB7285	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella	Gemella_haemolysans	SGB7285
SGB7292	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Bacillales-f__Bacillales_unclassified-g__Gemella-s__Gemella_haemolysans-t__SGB7292	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella	Gemella_haemolysans	SGB7292
SGB7295	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Bacillales-f__Bacillales_unclassified-g__Gemella-s__Gemella_morbillorum-t__SGB7295	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella	Gemella_morbillorum	SGB7295
SGB7298	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Bacillales-f__Bacillales_unclassified-g__Gemella-s__Gemella_sanguinis-t__SGB7298	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella	Gemella_sanguinis	SGB7298
SGB749	uSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Peptostreptococcaceae-g__Peptostreptococcus-s__Peptostreptococcus_SGB749-t__SGB749	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus_SGB749	SGB749
SGB8000	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_mutans-t__SGB8000	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_mutans	SGB8000
SGB8031	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_cristatus-t__SGB8031	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_cristatus	SGB8031
